x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
48,56,Pass,120,52,1,0,0,0,0
48,56,Pass,120,54,1,0,0,0,0
48,56,Pass,120,56,2,0,0,0,0
48,56,Pass,120,58,2,0,0,0,0
48,56,Pass,120,60,2,0,0,0,0
48,56,Pass,120,62,1,0,0,0,0
48,56,Pass,120,64,1,0.001,0,0,0
48,56,Pass,120,66,1,0.001,0,0,0
48,56,Pass,120,68,1,0,0,0,0
48,56,Pass,120,70,1,0,0,0,0
48,56,Run,120,70,1,0,0,0,0
48,56,Pass,120,72,1,0,0,0,0
48,56,Run,120,72,1,0,0,0,0
48,56,Pass,120,74,1,0,0,0,0
48,56,Run,120,74,1,0,0,0,0
48,56,Run,120,76,1,0,0,0,0
48,56,Run,120,78,1,0,0,0,0
48,56,Run,120,80,1,0,0,0,0
48,56,Pass,118,48,1,0,0,0,0
48,56,Pass,118,50,1,0,0,0,0
48,56,Pass,118,52,1,0,0,0,0
48,56,Pass,118,54,2,0,0,0,0
48,56,Pass,118,56,2,0.001,0,0,0
48,56,Pass,118,58,2,0.001,0,0,0
48,56,Pass,118,60,2,0.001,0,0,0
48,56,Pass,118,62,2,0.002,0,0,0
48,56,Pass,118,64,2,0.003,0,0,0
48,56,Pass,118,66,1,0.002,0,0,0
48,56,Pass,118,68,1,0.002,0,0,0
48,56,Run,118,68,1,0,0,0,0
48,56,Pass,118,70,1,0.001,0,0,0
48,56,Run,118,70,1,0,0,0,0
48,56,Pass,118,72,1,0,0,0,0
48,56,Run,118,72,1,0,0,0,0
48,56,Pass,118,74,1,0,0,0,0
48,56,Run,118,74,1,0,0,0,0
48,56,Run,118,76,1,0,0,0,0
48,56,Run,118,78,1,0,0,0,0
48,56,Run,118,80,1,0,0,0,0
48,56,Pass,116,46,1,0,0,0,0
48,56,Pass,116,48,1,0,0,0,0
48,56,Pass,116,50,1,0,0,0,0
48,56,Pass,116,52,1,0.001,0,0,0
48,56,Pass,116,54,2,0.002,0,0,0
48,56,Pass,116,56,2,0.003,0,0,0
48,56,Pass,116,58,2,0.004,0,0,0
48,56,Pass,116,60,2,0.005,0,0,0
48,56,Pass,116,62,2,0.006,0,0,0
48,56,Pass,116,64,2,0.008,0,0,0
48,56,Pass,116,66,2,0.007,0,0,0
48,56,Run,116,66,1,0,0,0,0
48,56,Pass,116,68,1,0.005,0,0,0
48,56,Run,116,68,1,0,0,0,0
48,56,Pass,116,70,1,0.002,0,0,0
48,56,Run,116,70,1,0,0,0,0
48,56,Pass,116,72,1,0.001,0,0,0
48,56,Run,116,72,1,0,0,0,0
48,56,Pass,116,74,1,0,0,0,0
48,56,Run,116,74,1,0,0,0,0
48,56,Pass,116,76,1,0,0,0,0
48,56,Run,116,76,1,0,0,0,0
48,56,Run,116,78,1,0,0,0,0
48,56,Run,116,80,1,0,0,0,0
48,56,Pass,114,46,1,0,0,0,0
48,56,Pass,114,48,1,0,0,0,0
48,56,Pass,114,50,1,0.002,0,0,0
48,56,Pass,114,52,2,0.004,0,0,0
48,56,Pass,114,54,2,0.008,0,0,0
48,56,Pass,114,56,2,0.011,0,0,0
48,56,Pass,114,58,2,0.012,0,0,0
48,56,Pass,114,60,2,0.012,0,0,0
48,56,Pass,114,62,2,0.014,0,0,0
48,56,Pass,114,64,2,0.017,0,0,0
48,56,Pass,114,66,2,0.015,0,0,0
48,56,Run,114,66,1,0,0,0,0
48,56,Pass,114,68,2,0.01,0,0,0
48,56,Run,114,68,1,0,0,0,0
48,56,Pass,114,70,1,0.004,0,0,0
48,56,Run,114,70,1,0,0,0,0
48,56,Pass,114,72,1,0.001,0,0,0
48,56,Run,114,72,1,0,0,0,0
48,56,Pass,114,74,1,0,0,0,0
48,56,Run,114,74,1,0,0,0,0
48,56,Pass,114,76,1,0,0,0,0
48,56,Run,114,76,1,0,0,0,0
48,56,Run,114,78,1,0,0,0,0
48,56,Run,114,80,1,0,0,0,0
48,56,Pass,112,44,1,0,0,0,0
48,56,Pass,112,46,1,0,0,0,0
48,56,Pass,112,48,1,0.001,0,0,0
48,56,Pass,112,50,1,0.004,0,0,0
48,56,Pass,112,52,2,0.011,0,0,0
48,56,Pass,112,54,2,0.02,0,0,0
48,56,Pass,112,56,2,0.027,0,0,0
48,56,Pass,112,58,2,0.027,0,0,0
48,56,Pass,112,60,3,0.024,0,0,0
48,56,Pass,112,62,3,0.024,0,0,0
