x,y,WeightedExpectedGoals,GoalProbability
0,0,0.0150210711825312,0.005
0,2,0.0125421305381994,0.005
0,4,0.00730100345275177,0.005
0,6,0.00296302022489314,0.005
0,8,0.000838354119608581,0.003
0,10,0.0001653717089705,0
0,12,0.00002274237157774,0
0,14,0,0
0,16,0,0
0,18,0,0
0,20,0,0
0,22,0,0
0,24,0,0
0,26,0,0
0,28,0,0
0,30,0,0
0,38,0,0
0,40,0,0
0,42,0,0
0,44,0,0
0,46,0.000304028255888914,0.294
0,48,0.000877994758262322,0.273
0,50,0.00176770879606895,0.144
0,52,0.00248124899173363,0.06
0,54,0.00242812363937309,0.022
0,56,0.00165657869411113,0.007
0,58,0.000787941855025172,0.002
0,60,0.000261286574060527,0.001
0,62,0,0
0,64,0,0
0,66,0,0
0,68,0,0
0,70,0,0
0,72,0,0
0,74,0,0
0,76,0,0
0,78,0,0
0,80,0,0
2,0,0.0125421305381994,0.005
2,2,0.0104722916578794,0.005
2,4,0.00609611240447013,0.005
2,6,0.00247403038014712,0.004
2,8,0.000699999798789066,0.002
2,10,0.000138080269777646,0
2,12,0.0000189891779094935,0
2,14,0,0
2,16,0,0
2,18,0,0
2,20,0,0
2,22,0,0
2,24,0,0
2,26,0,0
2,28,0,0
2,30,0,0
2,34,0,0
2,36,0,0
2,38,0,0
2,40,0,0
2,42,0,0
2,44,0.000458675357156049,0.066
2,46,0.00189995168866774,0.27
2,48,0.00548681772595317,0.335
2,50,0.0110468722795001,0.245
2,52,0.0155059706475833,0.126
2,54,0.0151739764958115,0.051
2,56,0.0103523913528532,0.018
2,58,0.00492405369905505,0.006
2,60,0.0016328477962058,0.002
2,62,0.000377493478466721,0.001
2,64,0,0
2,66,0,0
2,68,0,0
2,70,0,0
2,72,0,0
2,74,0,0
2,76,0,0
2,78,0,0
2,80,0,0
4,0,0.00730100345275177,0.005
4,2,0.00609611240447013,0.005
4,4,0.00354865846578799,0.005
4,6,0.00144017830883302,0.003
4,8,0.000407482678666031,0.001
4,10,0.0000803790491043813,0
4,12,0.0000110539475777162,0
4,14,0,0
4,16,0,0
4,18,0,0
4,20,0,0
4,22,0,0
4,24,0,0
4,26,0,0
4,28,0,0
4,30,0,0
4,32,0,0
4,34,0,0
4,36,0,0
4,38,0,0
4,40,0,0
4,42,0.000336339997914364,0.008
4,44,0.00199836512791415,0.054
4,46,0.00827774402988795,0.223
4,48,0.0239050671367018,0.367
4,50,0.0481292138142141,0.337
4,52,0.0675566945839835,0.221
4,54,0.0661102564328569,0.107
4,56,0.0451034866977243,0.042
4,58,0.0214532066016804,0.015
4,60,0.00711402093925661,0.005
4,62,0.00164467044416833,0.002
4,64,0.000265083967196295,0
4,66,0,0
4,68,0,0
4,70,0,0
4,72,0,0
4,74,0,0
4,76,0,0
4,78,0,0
4,80,0,0
6,0,0.00296302022489314,0.005
6,2,0.00247403038014712,0.005
6,4,0.00144017830883302,0.003
